参照,数量,部品番号,型番,フットプリント,区分,在庫,単価USD,小計USD,用途,実装
C1,1,C53084452,CC1210X7R50V106KN,C1210,Extended,4584,0.4318,0.4318,入力平滑,JLC 実装
C2,1,C970679,RVT1H470M0607 47UF 50V,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD,Extended,52825,0.0372,0.0372,入力バルク（車載の電源環境向け。50V/105℃）,JLC 実装
C4 C5 C9,3,C15850,CL21A106KAYNNNE,C0805,Basic,8144198,0.0862,0.2586,出力平滑,JLC 実装
C3 C6 C7 C8 C10,5,C14663,CC0603KRX7R9BB104,C0603,Basic,67581029,0.0138,0.0690,入力バイパス,JLC 実装
C11,1,C15849,CL10A105KB8NNNC,C0603,Basic,9513381,0.0058,0.0058,EN 立ち上がり遅延,JLC 実装
C12,1,C53084516,CC0603X7R50V102KN,C0603,Extended,119332,0.0138,0.0138,K-Line ノイズ抑制,JLC 実装
D1,1,C16015,SS36,SMA_L4.3-W2.6-LS5.2-RD,Extended,485296,0.0390,0.0390,逆接保護の直列ショットキー,JLC 実装
D2,1,C10212,SMBJ18A,SMB_L4.6-W3.6-LS5.3-RD,Extended,2219,0.0753,0.0753,TVS。U1 の 32V 耐圧を守る,JLC 実装
J1,1,C124378,B-2100S04P-A110,HDR-TH_4P-P2.54-V-M,Extended,110535,0.0559,0.0559,車両側 4P (12V/GND/K/予備),手ハンダ
J2,1,C124380,B-2100S06P-A110,HDR-TH_6P-P2.54-V_Z-211-0611-0021-001,Extended,5640,0.0565,0.0565,表示器 6P (3V3/GND/CLK/DAT/CS/DC),手ハンダ
J3,1,C124379,B-2100S05P-A110,HDR-TH_5P-P2.54-V-M,Extended,22383,0.0547,0.0547,書き込み。基板側は圧入スルーホールのみで部品は載せない,実装しない
L1,1,C60117,SWPA4018S4R7MT,IND-SMD_L4.0-W4.0,Extended,12009,0.0716,0.0716,降圧インダクタ,JLC 実装
R3 R4,2,C23162,0603WAF4701T5E,R0603,Basic,28651918,0.0030,0.0060,表示器 DAT のプルアップ,JLC 実装
R5 R6,2,C25804,0603WAF1002T5E,R0603,Basic,28816949,0.0025,0.0050,ESP32 EN プルアップ,JLC 実装
R7,1,C23193,0603WAF5100T5E,R0603,Basic,5769918,0.0036,0.0036,K-Line プルアップ,JLC 実装
R8,1,C25803,0603WAF1003T5E,R0603,Basic,25487107,0.0041,0.0041,VIN -> 降圧 EN,JLC 実装
U1,1,C780769,AP63203WU-7,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,Extended,18053,1.1017,1.1017,降圧 12V->3.2V 同期整流・内部補償,JLC 実装
U2,1,C2913202,ESP32-S3-WROOM-1-N16R8,WIRELM-SMD_ESP32-S3-WROOM-1,Extended,50275,4.5054,4.5054,MCU。BLE と 16MB フラッシュ,JLC 実装
U3,1,C153038,E-L9637D013TR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,Extended,2166,1.5283,1.5283,K-Line トランシーバ (ISO 9141),JLC 実装

# 部品点数 27 / 品種 19 / うち Extended 12 品種
# 部品代合計 $8.32（1 台ぶん、実装手配料と基板代は別）
# 在庫は取得時点の値。発注前に引き直すこと
